term,subclasses
intellectual_disabilities,developmental_disabilities
lower_limb_motor_function,upper_extremity_motor_function
lower_limb_motor_function,arm_function
lower_limb_motor_function,upper_limb_function
lower_limb_motor_function,upper_extremity_function
lower_limb_motor_function,lower_limb_motor_function
lower_limb_motor_function,hand_function
lower_limb_motor_function,upper_limb_motor_function
lower_limb_motor_function,sensori_motor_function
lower_limb_motor_function,motor_recovery
motor_memory_consolidation,motor_memory_consolidation
motor_memory_consolidation,off_line_learning
motor_memory_consolidation,skill_learning
motor_memory_consolidation,off_line_enhan_cement
motor_memory_consolidation,motor_skill_acquisition
motor_memory_consolidation,sleep_dependent_consolidation
motor_memory_consolidation,memory_consolidation
motor_memory_consolidation,motor_skill_learning
motor_memory_consolidation,sleep_dependent
life_satisfaction,life_satisfaction
life_satisfaction,official_relation_ships
life_satisfaction,emotional_well_being
life_satisfaction,psycho_logical_well_being
randomized_controlled_clinical_trials,rcts
randomized_controlled_clinical_trials,randomized_trials
randomized_controlled_clinical_trials,randomized_clinical_trials
randomized_controlled_clinical_trials,randomized_controlled_clinical_trials
randomized_controlled_clinical_trials,randomized_control_trials
randomized_controlled_clinical_trials,randomized_controlled_studies
randomized_controlled_clinical_trials,controlled_trials
botulinum_neurotoxin,botulinum
botulinum_neurotoxin,ona_botulinum_toxin_a
botulinum_neurotoxin,intrathecal_baclofen
botulinum_neurotoxin,botulinum_toxin_type
botulinum_neurotoxin,botulinum_neurotoxin
botulinum_neurotoxin,bont
botulinum_neurotoxin,post_stroke_spasticity
botulinum_neurotoxin,botulinum_toxins
botulinum_neurotoxin,spasmodic_dysphonia
j_rehabil_med,am_j_phys_med_rehabil_2012_91
health_care_professional,family_care_giver
health_care_professional,family_member
health_care_professional,carer
health_care_professional,primary_care_giver
mild_head_injury,tbi
mild_head_injury,traumatic_brain_injury
mild_head_injury,moderate_severe_traumatic_brain_injury
mild_head_injury,mild_traumatic_brain_injuries
mild_head_injury,mild_tbi
mild_head_injury,mild_head_injury
mild_head_injury,mild_traumatic_brain_injury
mild_head_injury,brain_injuries
repetitive_tms,cathodal_trans_cranial_direct_current_stimulation
repetitive_tms,anodal_trans_cranial_direct_current_stimulation
repetitive_tms,repetitive_tms
repetitive_tms,continuous_theta_burst_stimulation
repetitive_tms,theta_burst_stimulation
repetitive_tms,tdcs
repetitive_tms,high_frequency_repetitive_trans_cranial_magnetic_stimulatio
repetitive_tms,repetitive_trans_cranial_magnetic_stimulation
repetitive_tms,low_frequency_repetitive_trans_cranial_magnetic_stimulation
cortical_stimulation,tens
cortical_stimulation,neuro_muscular_electrical_stimulation
cortical_stimulation,electric_stimulation
cortical_stimulation,afferent_stimulation
cortical_stimulation,cortical_stimulation
cortical_stimulation,electro_acupuncture
cortical_stimulation,surface_electrical_stimulation
cortical_stimulation,trans_cutaneous_electrical_nerve_stimulation
cortical_stimulation,neuro_muscular_stimulation
cortical_stimulation,thermal_stimulation
experimental_group_received,experimental_group_received
functioning_disability,icf_cy
functioning_disability,functioning_disability
functioning_disability,icf_framework
functioning_disability,health_icf
functioning_disability,icf_model
functioning_disability,world_health_organization_2001
functioning_disability,international_classification
functioning_disability,icidh_2
functioning_disability,icf_classification
functioning_disability,icidh
nerebot,mit_manus
nerebot,robots
nerebot,robotic_system
nerebot,robotic_device
p_003,mse
p_003,p50_001
p_003,p_0_001
p_003,x2
p_003,p_003
p_003,p_002
p_003,p_0_002
p_003,p_0_003
p_003,p_0001
care_giver,informal_carers
care_giver,service_users
care_giver,carers
care_giver,care_giver
care_giver,family_carers
wrist,shoulder_joint
wrist,inter_phalangeal_joints
wrist,wrist_joint
wrist,elbow_joint
wrist,elbow_flexed_at
every_day_functioning,impaired_self_awareness
every_day_functioning,impaired_aware_ness
every_day_functioning,sadi_self_awareness
every_day_functioning,executive_dysfunction
canadian_neurological_scale,rivermead_mobility_index
canadian_neurological_scale,modified_barthel_index
canadian_neurological_scale,barthel_adl_index
canadian_neurological_scale,canadian_neurological_scale
canadian_neurological_scale,barthel
canadian_neurological_scale,orpington_prognostic_scale
canadian_neurological_scale,extended_barthel_index
self_selected_walking_speed,walking_velocity
self_selected_walking_speed,step_length
self_selected_walking_speed,gait_velocity
self_selected_walking_speed,self_selected_walking_speeds
self_selected_walking_speed,gait_speed
self_selected_walking_speed,step_length_asymmetry
self_selected_walking_speed,walking_distance
self_selected_walking_speed,maximum_walking_speed
self_selected_walking_speed,self_selected_walking_speed
self_selected_walking_speed,walking_capacity
mild_tbi,severe_head_injuries
difference_between_groups,no_statistical_difference
difference_between_groups,no_significant_difference
difference_between_groups,statistically_significant_differences
difference_between_groups,difference_between_groups
difference_between_groups,significant_difference
difference_between_groups,no_statistically_significant_difference
difference_between_groups,differences
difference_between_groups,wide_variation
difference_between_groups,statistically_significant_difference
upper_extremities,lower_extremity_strength
upper_extremities,lower_limb
upper_extremities,upper_extremity
upper_extremities,sitting_balance
upper_extremities,upper_extremities
upper_extremities,lower_limbs
upper_extremities,lower_extremities
hemiparalysis,spastic_hemi_paresis
hemiparalysis,right_hemi_plegia
hemiparalysis,upper_extremity_hemi_paresis
hemiparalysis,upper_extremity_paresis
hemiparalysis,hemi_paresis
hemiparalysis,chronic_hemi_plegia
hemiparalysis,left_hemi_plegia
immediate_retention,post_intervention
immediate_retention,post1
immediate_retention,immediate_post_test
immediate_retention,post2
immediate_retention,post_intervention_assessments
immediate_retention,pre_test
immediate_retention,immediate_post_intervention
postural_alignment,equilibrium
postural_alignment,body_posture
knee_joints,hip_joint
knee_joints,hip
knee_joints,ankle_flexion
knee_joints,ankle_joint
knee_joints,ankle_angle
knee_joints,ankle_plantar_flexor
knee_joints,knee_joint
knee_joints,knee_joints
knee_joints,ankle_joints
childhood_traumatic_brain_injury,head_trauma
childhood_traumatic_brain_injury,traumatic_brain_injuries
childhood_traumatic_brain_injury,mild_traumatic_brain_injuries
childhood_traumatic_brain_injury,mild_tbi
childhood_traumatic_brain_injury,brain_injury
childhood_traumatic_brain_injury,traumatic_head_injury
childhood_traumatic_brain_injury,minor_head_injury
childhood_traumatic_brain_injury,childhood_traumatic_brain_injury
childhood_traumatic_brain_injury,mild_head_injury
ipsilateral_motor_cortex,lesioned_hemi_sphere
ipsilateral_motor_cortex,m1
ipsilateral_motor_cortex,primary_motor_cortex
ipsilateral_motor_cortex,ipsilateral_motor_cortex
ipsilateral_motor_cortex,primary_motor_cortex_m1
ipsilateral_motor_cortex,sensori_motor_cortex
pettlep_imagery,mental_practice_combined
hips,ankle
hips,knee_flexed
hips,hip
hips,flexed_knee
hips,passive_dorsi_flexion
hips,varus
hips,hips
hips,knee_joint
hips,knee_joints
hips,ankle_joints
daily_living,every_day_activities
daily_living,every_day
daily_living,daily_living
daily_living,every_day_living
daily_living,life_situations
daily_living,daily_life_activities
daily_living,their_daily_lives
daily_living,every_day_life
esd,usual_care_alone
esd,wait_list_control
affected_hemi_sphere,ipsilateral_hemi_sphere
affected_hemi_sphere,lesioned_hemi_sphere
affected_hemi_sphere,contra_lateral_hemi_sphere
affected_hemi_sphere,affected_hemi_sphere
affected_hemi_sphere,primary_motor_cortex_m1
affected_hemi_sphere,ipsilateral_activation
able_bodied_subjects,age_matched_healthy_subjects
maximum_total_score,severity_rating
maximum_total_score,sum_score
maximum_total_score,scores_ranging_from
maximum_total_score,maximum_total_score
official_media,directories
official_media,official_media
official_media,mass_media
eeg_bio_feedback,non_pharmacologic
eeg_bio_feedback,pre_emptive
eeg_bio_feedback,pharmacological_interventions
padl,adls_iadls
dysphasia,visual_in_attention
internal_rotation,elbow
internal_rotation,lateral_rotation
internal_rotation,paretic_shoulder
internal_rotation,shoulder_joint
internal_rotation,shoulder_angles
internal_rotation,internal_rotation
internal_rotation,wrist_joint
internal_rotation,elbow_joint
internal_rotation,shoulder_joints
tread_mill_training,tread_mill_walking
tread_mill_training,gait
tread_mill_training,over_ground_walking
tread_mill_training,gait_speed
tread_mill_training,overground
tread_mill_training,walking_speed
tread_mill_training,tread_mill_training
confidence_intervals,small_effect_sizes
confidence_intervals,large_effect_size
confidence_intervals,large_effect_sizes
confidence_intervals,moderate_effect_size
outcome,long_term_functional_outcome
outcome,long_term_survival
floor_walking,reciprocal_stepping
floor_walking,floor_walking
orchestral_musicians,bi_manual_co_ordination
low_vision_rehabilitation,community_based_rehabilitation
low_vision_rehabilitation,vocational_rehabilitation_services
years_post_injury,years_post_injury
years_post_injury,twelve_months
years_post_injury,weeks_post_discharge
years_post_injury,six_months
years_post_injury,at_least_six_months
years_post_injury,months_post_injury
melbourne_assessment,fugl_meyer_assessment
melbourne_assessment,melbourne_assessment
melbourne_assessment,streamlined_wolf_motor_function_test
melbourne_assessment,wolf_motor_function_test_fas
melbourne_assessment,action_research_arm_test
melbourne_assessment,motor_activity_log
melbourne_assessment,nine_hole_peg_test
melbourne_assessment,wolf_motor_function_test_functional_ability_scale
melbourne_assessment,wmft
grounded_theory,qualitative_research_methods
grounded_theory,qualitative_inquiry
grounded_theory,meta_synthesis
grounded_theory,grounded_theory
grounded_theory,interpretative_phenomenological_analysis
disabil_rehabil,physiother_theory_pract
disabil_rehabil,disabil_rehabil
disabil_rehabil,physiother_can
disabil_rehabil,j_neurology_phys_ther
normative_feedback,continuous_visual_feedback
upper_limb_spasticity,botulinum
upper_limb_spasticity,intrathecal_baclofen
upper_limb_spasticity,botulinum_toxin_type_injections
upper_limb_spasticity,botulinum_toxin_type
upper_limb_spasticity,upper_limb_spasticity
upper_limb_spasticity,bont
upper_limb_spasticity,botulinum_toxin_injection
upper_limb_spasticity,botulinum_toxin
upper_limb_spasticity,post_stroke_spasticity
upper_limb_spasticity,spasmodic_dysphonia
inter_observer,inter_rater_agreement
inter_observer,internal_consistency
inter_observer,excellent_inter_rater_reliability
inter_observer,inter_observer_reliability
inter_observer,inter_observer
inter_observer,test_retest_reliability
inter_observer,good_inter_rater_reliability
inter_observer,intra_rater
inter_observer,intra_rater_reliability
inter_observer,inter_rater
inhibitory_repetitive_trans_cranial_magnetic_stimulation,anodal_trans_cranial_direct_current_stimulation
inhibitory_repetitive_trans_cranial_magnetic_stimulation,1_hz_repetitive_trans_cranial_magnetic_stimulation
inhibitory_repetitive_trans_cranial_magnetic_stimulation,repetitive_tms
inhibitory_repetitive_trans_cranial_magnetic_stimulation,inhibitory_repetitive_trans_cranial_magnetic_stimulation
inhibitory_repetitive_trans_cranial_magnetic_stimulation,continuous_theta_burst_stimulation
inhibitory_repetitive_trans_cranial_magnetic_stimulation,epidural_cortical_stimulation
inhibitory_repetitive_trans_cranial_magnetic_stimulation,trans_cranial_direct_current_stimulation
inhibitory_repetitive_trans_cranial_magnetic_stimulation,high_frequency_repetitive_trans_cranial_magnetic_stimulatio
inhibitory_repetitive_trans_cranial_magnetic_stimulation,low_frequency_repetitive_trans_cranial_magnetic_stimulation
healthy_older_adults,dual_task_condition
healthy_older_adults,dual_task_performance
healthy_older_adults,under_dual_task_conditions
healthy_older_adults,dual_tasking
healthy_older_adults,dual_task_walking
healthy_older_adults,dual_tasks
acute_care_setting,acute_care_facilities
acute_care_setting,emergency_departments
acute_care_setting,acute_care_settings
acute_care_setting,acute_hospitals
acute_care_setting,emergency_department
acute_care_setting,acute_care_setting
acute_care_setting,acute_care_hospitals
acute_care_setting,intermediate_care
electroencephalography,surface_electro_myo_graphic
electroencephalography,surface_electromyography
electroencephalography,surface_emg
electroencephalography,emedial_gastrocnemius
electroencephalography,surface_electromyogram
muscle_spasticity_phys_ther_1987_67_206_207,muscle_spasticity_phys_ther_1987_67_206_7
muscle_spasticity_phys_ther_1987_67_206_207,muscle_spasticity_physical_therapy_67_206_207
muscle_spasticity_phys_ther_1987_67_206_207,muscle_spasticity_phys_ther_67_206_207
muscle_spasticity_phys_ther_1987_67_206_207,muscle_spasticity_phys_ther_1987_67_206_207
muscle_spasticity_phys_ther_1987_67_206_207,canadian_neurological_scale_validation
muscle_spasticity_phys_ther_1987_67_206_207,bohannon_r_w_smith_mb_1987_inter_rater_reliability
voice,video_fluoroscopy
voice,modified_barium_swallow
voice,pharyngeal_swallow
voice,thin_liquids
voice,aspiration
voice,vfss
voice,vfs
joint_kinematics,kinetics
joint_kinematics,joint_kinematics
amphetamine,acupressure
amphetamine,therapeutic_ultrasound
amphetamine,scalp_acupuncture
amphetamine,electro_acupuncture
ipsilesional_hand,unaffected_hand
ipsilesional_hand,less_affected_hand
ipsilesional_hand,affected_limb
ipsilesional_hand,dominant_hand
ipsilesional_hand,ipsilesional_arm
ipsilesional_hand,ipsilesional_hand
ipsilesional_hand,affected_upper_limb
ipsilesional_hand,non_dominant_hand
ipsilesional_hand,affected_arm
ipsilesional_hand,paretic_hand
no_significant_inter_action_between,significant_main_effect
no_significant_inter_action_between,no_significant_inter_action_between
no_significant_inter_action_between,significant_inter_action_between
no_significant_inter_action_between,significant_inter_action
no_significant_inter_action_between,no_significant_inter_action
no_significant_inter_action_between,no_significant_main_effects
no_significant_inter_action_between,no_significant_main_effect
no_significant_inter_action_between,main_effects
neuro_rehabil_neural_repair_2008_22,neuro_rehabil_neural_repair_2008_22
neuro_rehabil_neural_repair_2008_22,neuro_rehabil_neural_repair_2008
neuro_rehabil_neural_repair_2008_22,neuro_rehabil_neural_repair_2009_23
neuro_rehabil_neural_repair_2008_22,neuro_rehab_neural_repair
proxies,satisfaction_ratings
proxies,self_ratings
psycho_logical_well_being,family_functioning
psycho_logical_well_being,vocational_functioning
psycho_logical_well_being,adaptive_functioning
psycho_logical_well_being,cognitive_functioning
psycho_logical_well_being,psycho_logical_well_being
psycho_logical_well_being,psychoofficial_functioning
psycho_logical_well_being,every_day_functioning
psycho_logical_well_being,official_functioning
psycho_logical_well_being,intellectual_functioning
somatosensation,pin_prick
somatosensation,tactile_sensation
somatosensation,light_touch
somatosensation,proprioception
somatosensation,tactile_sensations
somatosensation,somatosensation
inter_hemispheric_inhibition,intra_cortical_inhibition
inter_hemispheric_inhibition,excitability_changes
inter_hemispheric_inhibition,intra_cortical_excitability
inter_hemispheric_inhibition,unaffected_motor_cortex
inter_hemispheric_inhibition,cortical_excitability
inter_hemispheric_inhibition,inter_hemispheric_inhibition
inter_hemispheric_inhibition,cortico_spinal_excitability
inter_hemispheric_inhibition,m1_excitability
inter_hemispheric_inhibition,motor_cortex_excitability
inter_hemispheric_inhibition,increased_excitability
acute_care_hospital,inpatient_unit
acute_care_hospital,emergency_departments
acute_care_hospital,hospital_based
acute_care_hospital,acute_care
acute_care_hospital,acute_care_hospital
acute_care_hospital,acute_hospitals
acute_care_hospital,outpatient_clinics
acute_care_hospital,inpatient_rehabilitation
acute_care_hospital,outpatient
acute_care_hospital,inpatient_settings
physiother_theory_pract,disabil_rehabil_2006_28
physiother_theory_pract,clin_rehab
physiother_theory_pract,clin_rehabil_2004_18
physiother_theory_pract,clin_rehabil_2001_15
physiother_theory_pract,physiother_can
physiother_theory_pract,disabil_rehabil
physiother_theory_pract,physiother_theory_pract
physiother_theory_pract,top_stroke_rehabil
physiother_theory_pract,lincoln_n
no_yes,yes
no_yes,no_yes
no_yes,yes_no_do_not_know
real_world_environments,real_world_environments
real_world_environments,real_life
real_world_environments,real_life_situations
real_world_environments,real_world_settings
recombinant_tissue_plasminogen_activator,acute_ischemic_stroke_n_engl_j_med
preparedness,cultural_aware_ness
preparedness,intellectual_aware_ness
preparedness,cultural_competence
preparedness,preparedness
preparedness,ebp
cerebral_vascular_accidents,strokes_occurring
cerebral_vascular_accidents,hemorrhagic_strokes
cerebral_vascular_accidents,ischemic_strokes
cerebral_vascular_accidents,million_people
cerebral_vascular_accidents,every_year
cerebral_vascular_accidents,transient_ischemic_attacks
affected_extremity,more_affected_arm
affected_extremity,affected_limb
affected_extremity,paretic_arm
affected_extremity,affected_hand
affected_extremity,more_affected_upper_extremity
affected_extremity,affected_upper_limb
affected_extremity,affected_upper_extremity
affected_extremity,paretic_hand
affected_extremity,affected_extremity
affected_extremity,hemiplegic_arm
thumb_extension,thumb_extension
hemi_paretic_side,unaffected_side
hemi_paretic_side,hemiplegic_side
hemi_paretic_side,affected_sides
hemi_paretic_side,non_affected_side
hemi_paretic_side,contra_lateral_side
hemi_paretic_side,non_dominant_side
hemi_paretic_side,non_paretic_side
hemi_paretic_side,paretic_side
hemi_paretic_side,dominant_side
rivermead_mobility_index,sis
rivermead_mobility_index,stroke_impact_scale_version_3_0
elbow_joint,forearms
elbow_joint,forearm_rested
elbow_joint,elbow_flexed
elbow_joint,humerus
elbow_joint,finger_tips
dominant_hand,dominant_hand
dominant_hand,non_dominant_upper_limb
dominant_hand,dominant_upper_limb
dominant_hand,non_dominant_arm
dominant_hand,non_dominant_limb
dominant_hand,non_dominant_hand
journal_view_related_articles,view_citing_articles_full_terms
journal_view_related_articles,view_crossmark_data_full_terms
journal_view_related_articles,journal_view_related_articles
journal_view_related_articles,view_related_articles_view_crossmark_data_full_terms
journal_view_related_articles,this_journal_article_views_NUM_view_related_articles
journal_view_related_articles,oct_2017_submit_your_article
journal_view_related_articles,view_related_articles_citing
journal_view_related_articles,view_related_articles_view_crossmark_data_citing_articles
journal_view_related_articles,jul_2017_submit_your_article
neuro_psychological_deficits,atrocities
neuro_psychological_deficits,good_recoveries
stroke1,acute_ischemic_stroke
stroke1,stroke1
stroke1,ischemic_stroke
musculo_skeletal_disorders,knee_osteo_arthritis
musculo_skeletal_disorders,low_back_pain
musculo_skeletal_disorders,fibromyalgia
musculo_skeletal_disorders,back_pain
musculo_skeletal_disorders,musculo_skeletal_disorders
musculo_skeletal_disorders,rheumatoid_arthritis
f_waves,mep_amplitudes
f_waves,mep_amplitude
f_waves,meps
f_waves,extensor_carpi_radialis_muscle
f_waves,mep
f_waves,f_waves
f_waves,motor_evoked_potential
f_waves,abductor_digiti_minimi
f_waves,motor_evoked_potentials_amplitudes
scand_j_occup_ther,disabil_rehabil_2013_35
scand_j_occup_ther,disabil_rehabil_2007_29
scand_j_occup_ther,disabil_rehabil_2006_28
scand_j_occup_ther,disabil_rehabil_2009_31
scand_j_occup_ther,physiother_can
essays,discourse
essays,narratives
aac,assistive_technologies
aac,assistive_technology_devices
aac,official_media
icecap,general_health_status
icecap,icecap
secondary_outcomes,secondary_outcomes
secondary_outcomes,secondary_outcome
secondary_outcomes,main_outcome_measure
secondary_outcomes,primary_outcome_measure
secondary_outcomes,primary_outcome_measures
secondary_outcomes,primary_outcome_variable
secondary_outcomes,primary_end_point
secondary_outcomes,secondary_outcome_measure
retrieved_from_com,retrieved_from_com
retrieved_from_com,online_retrieved_from
go_berg_balance_scale,six_minute_walk_test
go_berg_balance_scale,four_square_step_test
go_berg_balance_scale,go_test_functional_reach
go_berg_balance_scale,go_test_tug
go_berg_balance_scale,go_timed_up
go_berg_balance_scale,10_metre_walk_test
go_berg_balance_scale,2_minute_walk_test
go_berg_balance_scale,go_tug
hospitals,acute_hospitals
hospitals,hospital_wards
hospitals,hospitals
hospitals,inpatient_units
hospitals,medical_wards
action_research_arm,fugl_meyer_upper_extremity
action_research_arm,action_research_arm
action_research_arm,fugl_meyer_assessment
action_research_arm,mvpt
action_research_arm,fugl_meyer_test
action_research_arm,upper_extremity_fugl_meyer_assessment
action_research_arm,ue_fm
action_research_arm,fugl_meyer_assessment_ue
action_research_arm,fugl_meyer_assessment_upper_extremity
action_research_arm,fugl_meyer_scale
arm_function,touch_sensation
arm_function,hand_dexterity
arm_function,manual_dexterity
best_practice,high_quality_evidence
teenager,father
teenager,wife
teenager,her_son
teenager,her_daughter
teenager,teenager
teenager,daughter
teenager,husband
teenager,her_mother
injury_severity,vocational_status
injury_severity,injury_severity
injury_severity,socieconomic_status
injury_severity,occupational_status
injury_severity,pre_injury_employment
injury_severity,employment_status
injury_severity,pre_morbid
injury_severity,pre_injury_status
injury_severity,pre_injury_functioning
motor_activity_log_aou,mal_qom
motor_activity_log_aou,pdms
motor_activity_log_aou,sis_stroke_impact_scale
motor_activity_log_aou,cahai
motor_activity_log_aou,nsa
motor_activity_log_aou,qom
motor_activity_log_aou,motor_activity_log_aou
motor_activity_log_aou,aou
motor_activity_log_aou,mal_motor_activity_log
motor_activity_log_aou,pmal
small_sample,attrition_rate
small_sample,small_sample
small_sample,sample_size_calculation
small_sample,power_calculations
small_sample,drop_out_rate
small_sample,statistical_power
small_sample,large_sample_size
small_sample,power_calculation
small_sample,sample_sizes
depression_scale_hads,zigmond_as_snaith_r_p
depression_scale_hads,zigmond
depression_scale_hads,depression_scale_acta_psychiatr_scand_1983_67_361_70
depression_scale_hads,depression_scale_acta_psychiatrica_scandinavica_67_361_370
depression_scale_hads,snaith_r_p_1983
depression_scale_hads,hospital_anxiety
depression_scale_hads,depression_scale_hads
depression_scale_hads,depression_scale_acta_psychiatrica
depression_scale_hads,depression_scale_acta_psychiatr_scand_1983_67_361_370
depression_scale_hads,depression_scale_anxiety_sub
swing_times,swing_time_symmetry
swing_times,stance_time_symmetry
swing_times,weight_bearing_distribution
suggestive,underlying_cause
suggestive,natural_consequence
suggestive,direct_consequence
suggestive,as_consequence
paretic_leg,symmetrical_weight_bearing
paretic_leg,weight_bearing_distribution
means_standard_deviations,statistical_analysis_descriptive_statistics
mindfulness,hatha_yoga
higher_rates,poorer_outcomes
higher_rates,higher_rates
mayston_2001,bobath_approach
mayston_2001,bobath_neuro_developmental_treatment
mayston_2001,bobath_concept
temporal_lobe,hypo_perfusion
temporal_lobe,encephalomalacia
temporal_lobe,white_matter_lesions
temporal_lobe,cerebral_atrophy
temporal_lobe,hypometabolism
paretic_side,ected_limb
paretic_side,non_paretic_arm
paretic_side,affected_limb
paretic_side,paretic_arm
paretic_side,non_paretic_limb
paretic_side,paretic_side
paretic_side,hemi_paretic_limb
paretic_side,less_affected_limb
new_bi_manual_co_ordination_pattern,motor_sequence_learning
new_bi_manual_co_ordination_pattern,complex_motor_skill
new_bi_manual_co_ordination_pattern,skill_acquisition
new_bi_manual_co_ordination_pattern,skill_learning
new_bi_manual_co_ordination_pattern,motor_skill_acquisition
new_bi_manual_co_ordination_pattern,motor_skill_learning
new_bi_manual_co_ordination_pattern,perceptual_motor_skill
new_bi_manual_co_ordination_pattern,implicit_motor_learning
higher_cognitive_functions,cognitive_dysfunctions
higher_cognitive_functions,higher_cognitive_functions
musical_experience,non_musicians
musical_experience,adult_musicians
musical_experience,control_task_no_accuracy_differences_between_groups_were_o
musical_experience,pianists
musical_experience,english_musicians
musical_experience,ballet_dancers
blocks_test34_score,block_test_bbt
blocks_test34_score,block_test_multicenter_study_clin_rehabil
blocks_test34_score,block_test_box
blocks_test34_score,block_test_nine_hole_peg
distal_phalanx,right_index_finger
distal_phalanx,index_wnger
distal_phalanx,index_fingers
distal_phalanx,little_finger
distal_phalanx,thumb_index_finger
extension_torque,joint_torque
extension_torque,joint_torques
extension_torque,joint_angle
extension_torque,maximum_force
extension_torque,torques
extension_torque,extension_torque
ankle_plantar_flexor,joint_stiffness
ankle_plantar_flexor,passive_stiffness
ankle_plantar_flexor,muscle_stiffness
ankle_plantar_flexor,ankle_joint
ankle_plantar_flexor,joint_angle
large_effect_size,std_mean_difference_iv_random_95_confidence_interval
polatajko,l_approche_cognitive_orientation
polatajko,daily_occupational_performance_cognitive_orientation
vascular_dementia,amnestic_mild_cognitive_impairment
vascular_dementia,alzheimer_s_disease
vascular_dementia,alzheimer_disease
clinical_placements,short_breaks
clinical_placements,break
clinical_placements,rest_periods
clinical_placements,rest_breaks
clinical_placements,minute_break
clinical_placements,interviews_lasted
utterance,speaker
utterance,target_word
utterance,sentences
utterance,word
utterance,utterance
virtual_reality,virtual_reality_environment
virtual_reality,simulated_environment
virtual_reality,virtual_environments
virtual_reality,semi_immersive
virtual_reality,virtual_reality
30_minutes_day,30_minutes_per_day
30_minutes_day,twice_per_week
30_minutes_day,30_minutes_day
30_minutes_day,once_per_week
30_minutes_day,three_times_week
30_minutes_day,once_week
30_minutes_day,three_times_per_week
30_minutes_day,five_times_week
